Sentence,Target,Sentiment
 Fabinho,,1
 Milner,,1
 Minamino,,1
 Lallana,,1
 Origi,,1
 Matip.,,1
Atletico Madrid: Oblak; Trippier,,1
 Savic,,1
 Felipe,,1
 Renan Lodi; Koke,,1
 Saul Niguez,,1
 Thomas,,1
 Correa; Costa,,1
 Joao Felix ,,1
 Subs: Adan,,1
 Gimenez,,1
 Morata,,1
 Lemar,,1
 Llorente,,1
 Carrasco,,1
 Vrsaljko,,1
 That’s brings the game to a close.,,1
A tale of two goalkeepers at Anfield.,,1
Liverpool didn’t play poorly but Jurgen Klopp’s side are out thanks to a brace from Marcos Llorente and Alvaro Morata’s late goal.,Marcos Llorente,1
Liverpool’s reign as European champions is over.,,1
Alvaro Morata is sent clear after a one-two with Marcos Llorente and simply finishes past Adrian.,Alvaro Morata,2
Diego Simeone sprints across the touchline to celebrate with his players,,2
 Liverpool haven’t looked that threatening in this half but they get a chance as Minamino sends in a decent cross from the right.,,2
It looks destined for Van Dijk’s head,Virgil Van Dijk,1
 but Gimenez rises well to stop it from reaching the Dutch international.,,2
Oblak comes to collect the high ball and is clattered by Milner,"Jan Oblak, J Milner",1
